"Madagascar" "Coral Triangle"
"plot.n" 198 665
"acanthastrea bowerbanki" 0 0
"acanthastrea brevis" 29 0
"acanthastrea echinata" 40 13
"acanthastrea faviaformis" 19 0
"acanthastrea hemprichii" 44 0
"acanthastrea hillae" 28 2
"acanthastrea ishigakiensis" 32 0
"acanthastrea lordhowensis" 21 0
"acanthastrea maxima" 0 0
"acanthastrea regularis" 19 0
"acanthastrea rotundoflora" 0 0
"acanthastrea subechinata" 21 0
"acropora abrolhosensis" 0 19
"acropora abrotanoides" 43 39
"acropora aculeus" 42 82
"acropora acuminata" 24 53
"acropora anthocercis" 31 9
"acropora appressa" 29 0
"acropora arabensis" 19 0
"acropora aspera" 25 28
"acropora austera" 53 68
"acropora awi" 0 20
"acropora azurea" 0 0
"acropora batunai" 0 12
"acropora bifurcata" 24 0
"acropora branchi" 21 0
"acropora brueggemanni" 0 70
"acropora bushyensis" 19 0
"acropora cardenae" 0 0
"acropora carduus" 0 25
"acropora caroliniana" 0 28
"acropora cerealis" 41 96
"acropora cervicornis" 0 0
"acropora chesterfieldensis" 0 0
"acropora clathrata" 49 81
"acropora convexa" 0 0
"acropora cophodactyla" 19 0
"acropora copiosa" 24 1
"acropora crateriformis" 0 4
"acropora cuneata" 2 7
"acropora cylindrica" 0 0
"acropora cytherea" 45 47
"acropora dendrum" 0 2
"acropora derawanensis" 0 4
"acropora desalwii" 0 10
"acropora digitifera" 39 49
"acropora divaricata" 52 37
"acropora donei" 22 51
"acropora downingi" 19 0
"acropora echinata" 1 45
"acropora efflorescens" 0 0
"acropora elegans" 0 2
"acropora elegantula" 0 0
"acropora elizabethensis" 0 0
"acropora elseyi" 22 45
"acropora exquisita" 0 0
"acropora filiformis" 0 0
"acropora florida" 26 128
"acropora formosa" 22 18
"acropora forskali" 22 1
"acropora gemmifera" 44 64
"acropora glauca" 1 3
"acropora globiceps" 0 0
"acropora grandis" 25 30
"acropora granulosa" 22 71
"acropora hemprichii" 32 0
"acropora hoeksemai" 0 45
"acropora horrida" 8 50
"acropora humilis" 54 84
"acropora hyacinthus" 41 120
"acropora indonesia" 1 42
"acropora inermis" 0 0
"acropora insignis" 26 0
"acropora irregularis" 15 0
"acropora jacquelineae" 0 23
"acropora japonica" 0 0
"acropora kimbeensis" 0 8
"acropora kirstyae" 0 3
"acropora kosurini" 0 0
"acropora lamarcki" 21 0
"acropora latistella" 39 90
"acropora listeri" 21 10
"acropora loisetteae" 0 2
"acropora lokani" 0 9
"acropora longicyathus" 20 27
"acropora loripes" 34 91
"acropora lovelli" 1 0
"acropora lutkeni" 35 26
"acropora maryae" 19 0
"acropora microclados" 1 39
"acropora microphthalma" 44 56
"acropora millepora" 1 62
"acropora mirabilis" 1 1
"acropora monticulosa" 22 11
"acropora multiacuta" 0 10
"acropora nana" 20 23
"acropora nasuta" 37 81
"acropora natalensis" 3 0
"acropora navini" 0 0
"acropora nobilis" 16 6
"acropora ocellata" 10 0
"acropora palifera" 24 102
"acropora palmata" 0 0
"acropora palmerae" 2 2
"acropora paniculata" 21 50
"acropora papillare" 5 5
"acropora parapharaonis" 0 0
"acropora parilis" 1 1
"acropora pectinatus" 1 2
"acropora pharaonis" 20 0
"acropora pichoni" 0 5
"acropora plumosa" 0 17
"acropora polystoma" 22 21
"acropora prolifera" 0 0
"acropora prostrata" 4 1
"acropora proximalis" 0 0
"acropora pruinosa" 0 4
"acropora pulchra" 5 32
"acropora rambleri" 0 1
"acropora retusa" 26 0
"acropora robusta" 30 59
"acropora rosaria" 20 0
"acropora roseni" 20 0
"acropora rudis" 0 0
"acropora rufus" 0 0
"acropora russelli" 0 2
"acropora samoensis" 32 52
"acropora sarmentosa" 0 27
"acropora secale" 47 72
"acropora selago" 16 77
"acropora seriata" 1 0
"acropora simplex" 0 3
"acropora solitaryensis" 3 111
"acropora speciosa" 0 44
"acropora spicifera" 1 44
"acropora squarrosa" 21 2
"acropora stoddarti" 1 2
"acropora striata" 0 21
"acropora subglabra" 0 40
"acropora subulata" 45 63
"acropora suharsonoi" 0 6
"acropora tanegashimensis" 0 0
"acropora tenella" 0 5
"acropora tenuis" 57 90
"acropora teres" 0 0
"acropora togianensis" 0 4
"acropora torihalimeda" 0 0
"acropora torresiana" 0 0
"acropora tortuosa" 0 1
"acropora tumida" 0 0
"acropora turaki" 0 11
"acropora tutuilensis" 0 0
"acropora valenciennesi" 20 71
"acropora valida" 46 96
"acropora variabilis" 5 5
"acropora variolosa" 29 0
"acropora vaughani" 22 21
"acropora vermiculata" 1 0
"acropora verweyi" 26 4
"acropora walindii" 0 3
"acropora willisae" 12 7
"acropora yongei" 11 77
"agaricia agaricites" 0 0
"agaricia fragilis" 0 0
"agaricia grahamae" 0 0
"agaricia humilis" 0 0
"agaricia lamarcki" 0 0
"agaricia tenuifolia" 0 0
"agaricia undata" 0 0
"alveopora allingi" 4 1
